CNPJ;Ticker;AnoRef;DataCotacao;PatrimonioLiquido;LucroLiquido;ROE;Total_Acoes;VPA;Preco;P_VPA
33.000.167/0001-01;PETR4.SA;2023;2024-01-30;382340000000.0;125166000000.0;32.74;13044496930;29.310444247235527;30.478490829467773;1.0398508658681422
33.000.167/0001-01;PETR4.SA;2024;2025-03-01;367514000000.0;37009000000.0;10.07;13044496930;28.17387301113804;32.06870651245117;1.138242743543757
33.592.510/0001-54;VALE3.SA;2023;2024-01-30;198325000000.0;40554000000.0;20.45;4539007;43693.47745002376;55.62236785888672;0.001273013069799883
33.592.510/0001-54;VALE3.SA;2024;2025-03-01;213720000000.0;30431000000.0;14.24;4539008;47085.17808296438;49.116798400878906;0.0010431477675274965
07.526.557/0001-00;ABEV3.SA;2023;2024-01-30;80143802000.0;14960459000.0;18.67;15753833;5087.257304301753;11.262638092041016;0.0022138919693559436
07.526.557/0001-00;ABEV3.SA;2024;2025-03-01;99580514000.0;14846952000.0;14.91;15757657;6319.500037346923;11.646463394165039;0.0018429406322235742
84.429.695/0001-11;WEGE3.SA;2023;2024-01-30;17854776000.0;5867615000.0;32.86;4197317998;4.253853534211062;31.512006759643555;7.407873004139035
84.429.695/0001-11;WEGE3.SA;2024;2025-03-01;23125217000.0;6318763000.0;27.32;4197317998;5.509522273751726;46.62028121948242;8.46176472352043
60.746.948/0001-12;BBDC3.SA;2023;2024-01-30;167014124000.0;14502765000.0;8.68;10642170;15693.615493832554;11.64842414855957;0.0007422396804061686
60.746.948/0001-12;BBDC3.SA;2024;2025-03-01;168942492000.0;17542153000.0;10.38;10642170228;15.87481579231886;9.857349395751953;0.620942600198328
61.532.644/0001-15;ITSA4.SA;2023;2024-01-30;87050000000.0;13978000000.0;16.06;10328149;8428.422169354837;7.321844100952148;0.0008687087516301532
61.532.644/0001-15;ITSA4.SA;2024;2025-03-01;94997000000.0;14887000000.0;15.67;10844557;8759.878342656137;7.873363971710205;0.0008987983238729402
00.000.000/0001-91;BBAS3.SA;2023;2024-01-30;173570326000.0;33165591000.0;19.11;2865417020;60.57419383933163;24.747295379638672;0.4085451874981442
00.000.000/0001-91;BBAS3.SA;2024;2025-03-01;184236344000.0;29171564000.0;15.83;5730834040;32.148260220775825;26.49351692199707;0.8241042202612142
90.400.888/0001-42;SANB11.SA;2023;2024-01-30;114856354000.0;9498812000.0;8.27;7498531;15317.180658451636;26.11205291748047;0.0017047558228721741
90.400.888/0001-42;SANB11.SA;2024;2025-03-01;119827132000.0;13413763000.0;11.19;7498531;15980.08089851199;24.232254028320312;0.001516403714237563
02.558.157/0001-62;VIVT3.SA;2023;2024-01-30;69627320000.0;5039977000.0;7.24;1652588360;42.13228271800244;22.810544967651367;0.5414030167870489
02.558.157/0001-62;VIVT3.SA;2024;2025-03-01;69799495000.0;5557332000.0;7.96;1630643696;42.8048721932446;23.753305435180664;0.5549206017470454
43.776.517/0001-80;SBSP3.SA;2023;2024-01-30;29857376000.0;3523531000.0;11.8;683509869;43.682435842049266;74.31310272216797;1.701212427596202
43.776.517/0001-80;SBSP3.SA;2024;2025-03-01;36928054000.0;9579563000.0;25.94;683509869;54.02709701035787;91.0550537109375;1.685358991127744
17.344.597/0001-94;BBSE3.SA;2023;2024-01-30;9816482000.0;7947203000.0;80.96;2000000000;4.908241;27.92618751525879;5.689652874677259
17.344.597/0001-94;BBSE3.SA;2024;2025-03-01;9695421000.0;8703353000.0;89.77;2000000000;4.8477105;36.57205581665039;7.544191390275965
09.346.601/0001-25;B3SA3.SA;2023;2024-01-30;20286099000.0;4132512000.0;20.37;5646500000;3.5926855574249537;12.378252983093262;3.445403942327014
